Name,Sex,Weight
Mohamed Abu Abdullah,M,74.0
Methkal Marouf Abu Drais,M,67.0
Methkal Marouf Abu Drais,M,67.0
Majed Abu Maraheel,M,76.0
Bektas Abubakirov,M,54.0
Nagmeldin Ali Abubakr,M,63.0
Nagmeldin Ali Abubakr,M,63.0
Magomedgasan Mingazhutdinovich Abushev,M,62.0
Ali Abuzamia,M,80.0
Alain Acart,M,67.0
Alain Acart,M,67.0
Marco Acerbi,M,74.0
Claudia Acerenza Marez,F,55.0
Claudia Acerenza Marez,F,55.0
Jos Eduardo Acevedo Herrera,M,65.0
Jaouad Achab,M,64.0
Mustapha Achab,M,
Aziz Acharki,M,68.0
Joachim Yaw Acheampong,M,73.0
Mohamed Abdelhak Achik,M,57.0
Mohamed Abdelhak Achik,M,57.0
Mohamed Abdelhak Achik,M,57.0
Georges Achille-Fould,F,
"Jacob Hendrik ""Jack"" Achilles",M,98.0
"Jacob Hendrik ""Jack"" Achilles",M,98.0
Chantal Achterberg,F,72.0
Chantal Achterberg,F,72.0
"Marianne ""Marjan"" Ackermans-Thomas",F,70.0
Bryan Josu Acosta Ramos,M,74.0
Jos Eugenio Acosta,M,73.0
Jos Eugenio Acosta,M,73.0
Jos Eugenio Acosta,M,73.0
Jos Eugenio Acosta,M,73.0
Marcelo Alberto Acosta Jimnez,M,
Marcelo Alberto Acosta Jimnez,M,
Marcelo Alberto Acosta Jimnez,M,
Pedro Javier Acosta Snchez,M,78.0
Ilona cs (-Zimmermann),F,
Ilona cs (-Zimmermann),F,
Brigitte Acton (-Smith),F,63.0
Brigitte Acton (-Smith),F,63.0
Brigitte Acton (-Smith),F,63.0
Brigitte Acton (-Smith),F,63.0
Goro Adachi,M,56.0
Goro Adachi,M,56.0
Kiyoshi Adachi,M,60.0
Mariko Adachi,F,51.0
Ali Enver Adakan,M,100.0
Ali Enver Adakan,M,100.0
"Johannes ""Johann"" Adam",M,
"Johannes ""Johann"" Adam",M,
"Johannes ""Johann"" Adam",M,
"Johannes ""Johann"" Adam",M,
Joseph Adam,M,70.0
Marianne Adam,F,85.0
Marianne Adam,F,85.0
Samba Adama,M,82.0
Samba Adama,M,82.0
Mara Teresa Adames,F,52.0
Mara Teresa Adames,F,52.0
